Player,Year,Tm,G,GS,Tgt,Receptions,Yds,Rec Y/R,TD,Rec Y/G,Rec Ctch%,Y/Tgt
Brandon Lloyd,2011,2TM,15,14,148,70,966,13.8,5,64.4,47.30%,6.53
Brandon Lloyd,2012,NWE,16,15,131,74,911,12.31,4,56.9,56.50%,6.95
Greg Little,2011,CLE,16,12,119,61,709,11.62,2,44.3,51.30%,5.96
Marqise Lee,2016,JAX,16,6,105,63,851,13.51,3,53.2,60.00%,8.1
Marqise Lee,2017,JAX,14,14,96,56,702,12.54,3,50.1,58.30%,7.31
Jarvis Landry,2014,MIA,16,11,112,84,758,9.02,5,47.4,75.00%,6.77
Jarvis Landry,2015,MIA,16,14,166,110,1157,10.52,4,72.3,66.30%,6.97
Jarvis Landry,2016,MIA,16,16,131,94,1136,12.09,4,71,71.80%,8.67
Jarvis Landry,2017,MIA,16,16,161,112,987,8.81,9,61.7,69.60%,6.13
Jarvis Landry,2018,CLE,16,14,149,81,976,12.05,4,61,54.40%,6.55
Jarvis Landry,2019,CLE,16,16,138,83,1174,14.14,6,73.4,60.10%,8.51
Brandon LaFell,2014,NWE,16,13,119,74,953,12.88,7,59.6,62.20%,8.01
Brandon LaFell,2016,CIN,16,14,107,64,862,13.47,6,53.9,59.80%,8.06
Cooper Kupp,2017,LAR,15,6,94,62,869,14.02,5,57.9,66.00%,9.24
Cooper Kupp,2019,LAR,16,14,134,94,1161,12.35,10,72.6,70.10%,8.66
Johnny Knox,2010,CHI,16,16,100,51,960,18.82,5,60,51.00%,9.6
Johnny Knox,2011,CHI,14,11,69,37,727,19.65,2,51.9,53.60%,10.54
Christian Kirk,2019,ARI,13,13,108,68,709,10.43,3,54.5,63.00%,6.56
Jeremy Kerley,2012,NYJ,16,7,95,56,827,14.77,2,51.7,58.90%,8.71
Jermaine Kearse,2017,NYJ,16,14,102,65,810,12.46,5,50.6,63.70%,7.94
Marvin Jones,2013,CIN,16,3,80,51,712,13.96,10,44.5,63.80%,8.9
Marvin Jones,2015,CIN,16,13,103,65,816,12.55,4,51,63.10%,7.92
Marvin Jones,2016,DET,15,15,103,55,930,16.91,4,62,53.40%,9.03
Marvin Jones,2017,DET,16,16,107,61,1101,18.05,9,68.8,57.00%,10.29
Marvin Jones,2019,DET,13,11,91,62,779,12.56,9,59.9,68.10%,8.56
Julio Jones,2011,ATL,13,13,95,54,959,17.76,8,73.8,56.80%,10.09
Julio Jones,2012,ATL,16,15,128,79,1198,15.16,10,74.9,61.70%,9.36
Julio Jones,2014,ATL,15,15,163,104,1593,15.32,6,106.2,63.80%,9.77
Julio Jones,2015,ATL,16,16,203,136,1871,13.76,8,116.9,67.00%,9.22
Julio Jones,2016,ATL,14,14,129,83,1409,16.98,6,100.6,64.30%,10.92
Julio Jones,2017,ATL,16,16,148,88,1444,16.41,3,90.3,59.50%,9.76
Julio Jones,2018,ATL,16,16,170,113,1677,14.84,8,104.8,66.50%,9.86
Julio Jones,2019,ATL,15,15,157,99,1394,14.08,6,92.9,63.10%,8.88
James Jones,2012,GNB,16,16,98,64,784,12.25,14,49,65.30%,8
James Jones,2013,GNB,14,14,93,59,817,13.85,3,58.4,63.40%,8.78
James Jones,2015,GNB,16,15,99,50,890,17.8,8,55.6,50.50%,8.99
Steve Johnson,2010,BUF,16,13,141,82,1073,13.09,10,67.1,58.20%,7.61
Steve Johnson,2011,BUF,16,16,134,76,1004,13.21,7,62.8,56.70%,7.49
Steve Johnson,2012,BUF,16,16,148,79,1046,13.24,6,65.4,53.40%,7.07
Chad Johnson,2010,CIN,14,12,126,67,831,12.4,4,59.4,53.20%,6.6
Calvin Johnson,2010,DET,15,15,137,77,1120,14.55,12,74.7,56.20%,8.18
Calvin Johnson,2011,DET,16,16,158,96,1681,17.51,16,105.1,60.80%,10.64
Calvin Johnson,2012,DET,16,16,204,122,1964,16.1,5,122.8,59.80%,9.63
,,,,,,,,,,,,
,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Player,Year,Tm,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
Calvin Johnson,2013,DET,14,14,156,84,1492,17.76,12,106.6,53.80%,9.56
Calvin Johnson,2014,DET,13,13,128,71,1077,15.17,8,82.8,55.50%,8.41
Calvin Johnson,2015,DET,16,16,149,88,1214,13.8,9,75.9,59.10%,8.15
Andre Johnson,2010,HOU,13,13,138,86,1216,14.14,8,93.5,62.30%,8.81
Andre Johnson,2012,HOU,16,16,162,112,1598,14.27,4,99.9,69.10%,9.86
Andre Johnson,2013,HOU,16,16,181,109,1407,12.91,5,87.9,60.20%,7.77
Andre Johnson,2014,HOU,15,15,146,85,936,11.01,3,62.4,58.20%,6.41
Greg Jennings,2010,GNB,16,16,125,76,1265,16.64,12,79.1,60.80%,10.12
Greg Jennings,2011,GNB,13,13,101,67,949,14.16,9,73,66.30%,9.4
Greg Jennings,2013,MIN,15,15,106,68,804,11.82,4,53.6,64.20%,7.58
Greg Jennings,2014,MIN,16,13,92,59,742,12.58,6,46.4,64.10%,8.07
Alshon Jeffery,2013,CHI,16,14,148,89,1421,15.97,7,88.8,60.10%,9.6
Alshon Jeffery,2014,CHI,16,16,145,85,1133,13.33,10,70.8,58.60%,7.81
Alshon Jeffery,2015,CHI,9,8,94,54,807,14.94,4,89.7,57.40%,8.59
Alshon Jeffery,2016,CHI,12,12,94,52,821,15.79,2,68.4,55.30%,8.73
Alshon Jeffery,2017,PHI,16,16,120,57,789,13.84,9,49.3,47.50%,6.58
Alshon Jeffery,2018,PHI,13,13,92,65,843,12.97,6,64.8,70.70%,9.16
Vincent Jackson,2011,SDG,16,16,115,60,1106,18.43,9,69.1,52.20%,9.62
Vincent Jackson,2012,TAM,16,16,147,72,1384,19.22,8,86.5,49.00%,9.41
Vincent Jackson,2013,TAM,16,16,160,78,1224,15.69,7,76.5,48.80%,7.65
Vincent Jackson,2014,TAM,16,16,142,70,1002,14.31,2,62.6,49.30%,7.06
DeSean Jackson,2010,PHI,14,14,95,47,1056,22.47,6,75.4,49.50%,11.12
DeSean Jackson,2011,PHI,15,15,104,58,961,16.57,4,64.1,55.80%,9.24
DeSean Jackson,2012,PHI,11,11,87,45,700,15.56,2,63.6,51.70%,8.05
DeSean Jackson,2013,PHI,16,16,126,82,1332,16.24,9,83.3,65.10%,10.57
DeSean Jackson,2014,WAS,15,13,95,56,1169,20.88,6,77.9,58.90%,12.31
DeSean Jackson,2016,WAS,15,15,100,56,1005,17.95,4,67,56.00%,10.05
DeSean Jackson,2018,TAM,12,10,74,41,774,18.88,4,64.5,55.40%,10.46
Dontrelle Inman,2016,SDG,16,16,97,58,810,13.97,4,50.6,59.80%,8.35
Allen Hurns,2015,JAX,15,15,105,64,1031,16.11,10,68.7,61.00%,9.82
Adam Humphries,2018,TAM,16,10,105,76,816,10.74,5,51,72.40%,7.77
DeAndre Hopkins,2013,HOU,16,16,91,52,802,15.42,2,50.1,57.10%,8.81
DeAndre Hopkins,2014,HOU,16,16,127,76,1210,15.92,6,75.6,59.80%,9.53
DeAndre Hopkins,2015,HOU,16,16,192,111,1521,13.7,11,95.1,57.80%,7.92
DeAndre Hopkins,2016,HOU,16,16,151,78,954,12.23,4,59.6,51.70%,6.32
DeAndre Hopkins,2017,HOU,15,15,174,96,1378,14.35,13,91.9,55.20%,7.92
DeAndre Hopkins,2018,HOU,16,16,163,115,1572,13.67,11,98.3,70.60%,9.64
DeAndre Hopkins,2019,HOU,15,15,150,104,1165,11.2,7,77.7,69.30%,7.77
Santonio Holmes,2010,NYJ,12,10,96,52,746,14.35,6,62.2,54.20%,7.77
T.Y. Hilton,2012,IND,15,1,90,50,861,17.22,7,57.4,55.60%,9.57
T.Y. Hilton,2013,IND,16,10,139,82,1083,13.21,5,67.7,59.00%,7.79
T.Y. Hilton,2014,IND,15,15,131,82,1345,16.4,7,89.7,62.60%,10.27
T.Y. Hilton,2015,IND,16,15,134,69,1124,16.29,5,70.3,51.50%,8.39
T.Y. Hilton,2016,IND,16,16,155,91,1448,15.91,6,90.5,58.70%,9.34
T.Y. Hilton,2017,IND,16,16,109,57,966,16.95,4,60.4,52.30%,8.86
T.Y. Hilton,2018,IND,14,14,120,76,1270,16.71,6,90.7,63.30%,10.58
Tyreek Hill,2017,KAN,15,13,105,75,1183,15.77,7,78.9,71.40%,11.27
Tyreek Hill,2018,KAN,16,16,137,87,1479,17,12,92.4,63.50%,10.8
Tyreek Hill,2019,KAN,12,12,89,58,860,14.83,7,71.7,65.20%,9.66
Darrius Heyward-Bey,2011,OAK,15,14,115,64,975,15.23,4,65,55.70%,8.48
Andrew Hawkins,2014,CLE,15,15,112,63,824,13.08,2,54.9,56.30%,7.36
Percy Harvin,2010,MIN,14,13,109,71,868,12.23,5,62,65.10%,7.96
Percy Harvin,2011,MIN,16,14,121,87,967,11.11,6,60.4,71.90%,7.99
Brian Hartline,2012,MIA,16,15,131,74,1083,14.64,1,67.7,56.50%,8.27
Brian Hartline,2013,MIA,16,15,133,76,1016,13.37,4,63.5,57.10%,7.64
A.J. Green,2011,CIN,15,15,115,65,1057,16.26,7,70.5,56.50%,9.19
A.J. Green,2012,CIN,16,16,164,97,1350,13.92,11,84.4,59.10%,8.23
A.J. Green,2013,CIN,16,16,178,98,1426,14.55,11,89.1,55.10%,8.01
A.J. Green,2014,CIN,13,13,117,69,1041,15.09,6,80.1,59.00%,8.9
A.J. Green,2015,CIN,16,16,132,86,1297,15.08,10,81.1,65.20%,9.83
A.J. Green,2016,CIN,10,10,100,66,964,14.61,4,96.4,66.00%,9.64
A.J. Green,2017,CIN,16,16,143,75,1078,14.37,8,67.4,52.40%,7.54
Josh Gordon,2012,CLE,16,13,96,50,805,16.1,5,50.3,52.10%,8.39
Josh Gordon,2013,CLE,14,14,159,87,1646,18.92,9,117.6,54.70%,10.35
Josh Gordon,2018,2TM,12,12,71,41,737,17.98,4,61.4,57.70%,10.38
Marquise Goodwin,2017,SFO,16,16,105,56,962,17.18,2,60.1,53.30%,9.16
Kenny Golladay,2018,DET,15,13,119,70,1063,15.19,5,70.9,58.80%,8.93
Kenny Golladay,2019,DET,16,16,116,65,1190,18.31,11,74.4,56.00%,10.26
Chris Godwin,2018,TAM,16,5,95,59,842,14.27,7,52.6,62.10%,8.86
Chris Godwin,2019,TAM,14,14,121,86,1333,15.5,9,95.2,71.10%,11.02
Ted Ginn,2015,CAR,15,13,97,44,739,16.8,10,49.3,45.40%,7.62
Ted Ginn,2016,CAR,16,8,95,54,752,13.93,4,47,56.80%,7.92
Ted Ginn,2017,NOR,15,10,70,53,787,14.85,4,52.5,75.70%,11.24
Pierre Garcon,2010,IND,14,14,119,67,784,11.7,6,56,56.30%,6.59
Pierre Garcon,2011,IND,16,16,134,70,947,13.53,6,59.2,52.20%,7.07
Pierre Garcon,2013,WAS,16,16,181,113,1346,11.91,5,84.1,62.40%,7.44
Pierre Garcon,2014,WAS,16,14,105,68,752,11.06,3,47,64.80%,7.16
Pierre Garcon,2015,WAS,16,16,111,72,777,10.79,6,48.6,64.90%,7
Pierre Garcon,2016,WAS,16,16,114,79,1041,13.18,3,65.1,69.30%,9.13
Michael Gallup,2019,DAL,14,12,113,66,1107,16.77,6,79.1,58.40%,9.8
Jabar Gaffney,2010,DEN,16,11,112,65,875,13.46,2,54.7,58.00%,7.81
Jabar Gaffney,2011,WAS,16,15,114,68,947,13.93,5,59.2,59.60%,8.31
Devin Funchess,2017,CAR,16,16,111,63,840,13.33,8,52.5,56.80%,7.57
Michael Floyd,2013,ARI,16,16,113,65,1041,16.02,5,65.1,57.50%,9.21
Michael Floyd,2014,ARI,16,14,99,47,841,17.89,6,52.6,47.50%,8.49
Michael Floyd,2015,ARI,15,6,89,52,849,16.33,6,56.6,58.40%,9.54
Malcom Floyd,2010,SDG,11,9,77,37,717,19.38,6,65.2,48.10%,9.31
Malcom Floyd,2011,SDG,12,9,70,43,856,19.91,5,71.3,61.40%,12.23
Malcom Floyd,2012,SDG,14,14,85,56,814,14.54,5,58.1,65.90%,9.58
Malcom Floyd,2014,SDG,16,16,92,52,856,16.46,6,53.5,56.50%,9.3
Larry Fitzgerald,2010,ARI,16,15,173,90,1137,12.63,6,71.1,52.00%,6.57
Larry Fitzgerald,2011,ARI,16,16,154,80,1411,17.64,8,88.2,51.90%,9.16
Larry Fitzgerald,2012,ARI,16,16,156,71,798,11.24,4,49.9,45.50%,5.12
Larry Fitzgerald,2013,ARI,16,16,135,82,954,11.63,10,59.6,60.70%,7.07
Larry Fitzgerald,2014,ARI,14,13,103,63,784,12.44,2,56,61.20%,7.61
Larry Fitzgerald,2015,ARI,16,16,145,109,1215,11.15,9,75.9,75.20%,8.38
Larry Fitzgerald,2016,ARI,16,16,150,107,1023,9.56,6,63.9,71.30%,6.82
Larry Fitzgerald,2017,ARI,16,16,161,109,1156,10.61,6,72.3,67.70%,7.18
Larry Fitzgerald,2018,ARI,16,16,112,69,734,10.64,6,45.9,61.60%,6.55
Larry Fitzgerald,2019,ARI,16,16,109,75,804,10.72,4,50.3,68.80%,7.38
,,,,,,,,,,,,
,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Player,Year,Tm,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
Mike Evans,2014,TAM,15,15,122,68,1051,15.46,12,70.1,55.70%,8.61
